KG,Item_Code,Description,Capacity,Unit,Unit_Price_EUR,Installation_Factor,Total_Unit_Price,Typical_Quantity,Application,Manufacturer,Weight_kg,Efficiency,Busbar_Rating,Breaking_Capacity,Circuits,Sensitivity,Luminous_Flux,Backup_Time
441,TR-001,Dry-Type Transformer 100 kVA 10/0.4 kV,100 kVA,Stck,8500,1.5,12750,1,Small building power supply,ABB/Siemens,385,98.5,,,,,,
441,TR-002,Dry-Type Transformer 250 kVA 10/0.4 kV,250 kVA,Stck,14500,1.4,20300,1,Medium building power,ABB/Siemens,685,98.8,,,,,,
441,TR-003,Dry-Type Transformer 400 kVA 10/0.4 kV,400 kVA,Stck,18500,1.4,25900,1,Large building power,ABB/Siemens,985,99,,,,,,
441,TR-004,Dry-Type Transformer 630 kVA 10/0.4 kV,630 kVA,Stck,24500,1.3,31850,1,Commercial building power,ABB/Siemens,1485,99.2,,,,,,
441,TR-005,Dry-Type Transformer 1000 kVA 10/0.4 kV,1000 kVA,Stck,32500,1.3,42250,1,Industrial power supply,ABB/Siemens,2185,99.3,,,,,,
441,TR-006,Oil-Immersed Transformer 630 kVA 10/0.4 kV,630 kVA,Stck,19500,1.4,27300,1,Outdoor power distribution,ABB/Siemens,1785,99,,,,,,
441,TR-007,Oil-Immersed Transformer 1600 kVA 20/0.4 kV,1600 kVA,Stck,42500,1.3,55250,1,Large industrial supply,ABB/Siemens,3985,99.4,,,,,,
442,MD-001,Main Distribution Board (NSHV) 630A,630 A,Stck,8500,1.6,13600,1-2,Building main distribution,Siemens/Schneider,285,,630A,,,,,
442,MD-002,Main Distribution Board (NSHV) 1250A,1250 A,Stck,14500,1.5,21750,1,Large building distribution,Siemens/Schneider,485,,1250A,,,,,
442,MD-003,Main Distribution Board (NSHV) 2000A,2000 A,Stck,22500,1.4,31500,1,Commercial main distribution,Siemens/Schneider,785,,2000A,,,,,
442,MD-004,Main Distribution Board (NSHV) 3200A,3200 A,Stck,35000,1.3,45500,1,Industrial main distribution,Siemens/Schneider,1185,,3200A,,,,,
442,ACB-001,Air Circuit Breaker (ACB) 630A 50kA,630 A,Stck,4500,1.3,5850,2-6,Main distribution protection,ABB/Schneider,65,,,50 kA,,,,
442,ACB-002,Air Circuit Breaker (ACB) 1000A 65kA,1000 A,Stck,6500,1.3,8450,1-4,Large distribution protection,ABB/Schneider,95,,,65 kA,,,,
442,ACB-003,Air Circuit Breaker (ACB) 1600A 85kA,1600 A,Stck,9500,1.3,12350,1-3,Industrial protection,ABB/Schneider,145,,,85 kA,,,,
442,ACB-004,Air Circuit Breaker (ACB) 2500A 100kA,2500 A,Stck,14500,1.3,18850,1-2,Heavy industrial protection,ABB/Schneider,225,,,100 kA,,,,
443,SD-001,Sub-Distribution Board 125A 12-way,125 A,Stck,850,1.5,1275,5-20,Floor distribution,Siemens/Hager,35,,,,12,,,
